evaluation_id,suite_id,metric,margin,n_groups,n_pairs,n_correct,n_predicted_ties,accuracy
pathobench.exaone2025.cptac_ccrcc.vhl-mutation,pathobench,macro-ovr-auc,5.0,28,199,124,0,0.6231155778894473
pathobench.exaone2025.cptac_coad.acvr2a-mutation,pathobench,macro-ovr-auc,5.0,28,191,157,0,0.8219895287958116
pathobench.exaone2025.cptac_coad.apc-mutation,pathobench,macro-ovr-auc,5.0,29,186,151,0,0.8118279569892473
pathobench.exaone2025.cptac_coad.arid1a-mutation,pathobench,macro-ovr-auc,5.0,20,32,25,0,0.78125
pathobench.exaone2025.cptac_coad.kras-mutation,pathobench,macro-ovr-auc,5.0,27,133,79,0,0.5939849624060151
pathobench.exaone2025.cptac_coad.msi-h,pathobench,macro-ovr-auc,5.0,27,68,66,0,0.9705882352941176
pathobench.exaone2025.cptac_coad.pik3ca-mutation,pathobench,macro-ovr-auc,5.0,29,138,86,0,0.6231884057971014
pathobench.exaone2025.cptac_coad.setd1b-mutation,pathobench,macro-ovr-auc,5.0,28,255,227,0,0.8901960784313725
pathobench.exaone2025.cptac_coad.tp53-mutation,pathobench,macro-ovr-auc,5.0,29,205,182,0,0.8878048780487805
pathobench.exaone2025.cptac_gbm.egfr-mutation,pathobench,macro-ovr-auc,5.0,27,227,176,0,0.775330396475771
pathobench.exaone2025.cptac_gbm.immune-class,pathobench,macro-ovr-auc,5.0,27,102,70,0,0.6862745098039216
pathobench.exaone2025.cptac_gbm.tp53-mutation,pathobench,macro-ovr-auc,5.0,29,149,131,0,0.8791946308724832
pathobench.exaone2025.cptac_hnsc.casp8-mutation,pathobench,macro-ovr-auc,5.0,28,249,177,0,0.7108433734939759
pathobench.exaone2025.cptac_hnsc.histologic-grade,pathobench,macro-ovr-auc,5.0,27,81,66,0,0.8148148148148148
pathobench.exaone2025.cptac_hnsc.immune-class,pathobench,macro-ovr-auc,5.0,29,96,52,0,0.5416666666666666
pathobench.exaone2025.cptac_hnsc.os,pathobench,cindex,5.0,29,229,192,0,0.8384279475982532
pathobench.exaone2025.cptac_lscc.arid1a-mutation,pathobench,macro-ovr-auc,5.0,28,234,183,0,0.782051282051282
pathobench.exaone2025.cptac_lscc.histologic-grade,pathobench,macro-ovr-auc,5.0,27,199,159,0,0.7989949748743719
pathobench.exaone2025.cptac_lscc.immune-class,pathobench,macro-ovr-auc,5.0,28,105,85,0,0.8095238095238095
pathobench.exaone2025.cptac_lscc.keap1-mutation,pathobench,macro-ovr-auc,5.0,28,181,140,0,0.7734806629834254
pathobench.exaone2025.cptac_luad.egfr-mutation,pathobench,macro-ovr-auc,5.0,26,99,69,0,0.696969696969697
pathobench.exaone2025.cptac_luad.immune-class,pathobench,macro-ovr-auc,5.0,28,147,132,0,0.8979591836734694
pathobench.exaone2025.cptac_luad.kras-mutation,pathobench,macro-ovr-auc,5.0,29,168,131,0,0.7797619047619048
pathobench.exaone2025.cptac_luad.os,pathobench,cindex,5.0,27,182,141,0,0.7747252747252747
pathobench.exaone2025.cptac_luad.tp53-mutation,pathobench,macro-ovr-auc,5.0,30,151,122,0,0.8079470198675497
pathobench.exaone2025.cptac_ov.immune-class,pathobench,macro-ovr-auc,5.0,26,98,91,0,0.9285714285714286
pathobench.exaone2025.cptac_pda.os,pathobench,cindex,5.0,29,207,171,0,0.8260869565217391
pathobench.exaone2025.cptac_pda.smad4-mutation,pathobench,macro-ovr-auc,5.0,29,245,163,0,0.6653061224489796
pathobench.exaone2025.cptac_ucec.ctnnb1-mutation,pathobench,macro-ovr-auc,5.0,19,30,28,0,0.9333333333333333
pathobench.exaone2025.cptac_ucec.immune-class,pathobench,macro-ovr-auc,5.0,30,152,134,0,0.881578947368421
pathobench.exaone2025.cptac_ucec.pten-mutation,pathobench,macro-ovr-auc,5.0,26,187,142,0,0.7593582887700535
pathobench.exaone2025.hancook.grading-scc-conventional-keratinizing,pathobench,macro-ovr-auc,5.0,29,87,77,0,0.8850574712643678
pathobench.exaone2025.hancook.grading-scc-conventional-nonkeratinizing,pathobench,macro-ovr-auc,5.0,29,160,141,0,0.88125
pathobench.exaone2025.hancook.lymphovascular-invasion-l,pathobench,macro-ovr-auc,5.0,27,98,88,0,0.8979591836734694
pathobench.exaone2025.hancook.os-treatment-rdc,pathobench,cindex,5.0,28,211,136,0,0.6445497630331753
pathobench.exaone2025.hancook.primarily-metastasis,pathobench,macro-ovr-auc,5.0,28,132,121,0,0.9166666666666666
