evaluation_id,suite_id,metric,top_fraction,n_groups,total_k,overlap,recovery
pathobench.threads2025.bracs.slidelevel-fine,pathobench,bacc,0.1,29,29,23,0.7931034482758621
pathobench.threads2025.cptac_brca.pik3ca-mutation,pathobench,macro-ovr-auc,0.1,29,29,17,0.5862068965517241
pathobench.threads2025.cptac_brca.tp53-mutation,pathobench,macro-ovr-auc,0.1,30,30,25,0.8333333333333334
pathobench.threads2025.cptac_ccrcc.bap1-mutation,pathobench,macro-ovr-auc,0.1,30,30,27,0.9
pathobench.threads2025.cptac_ccrcc.os,pathobench,cindex,0.1,29,29,15,0.5172413793103449
pathobench.threads2025.cptac_ccrcc.pbrm1-mutation,pathobench,macro-ovr-auc,0.1,29,29,24,0.8275862068965517
pathobench.threads2025.cptac_coad.kras-mutation,pathobench,macro-ovr-auc,0.1,30,30,18,0.6
pathobench.threads2025.cptac_coad.tp53-mutation,pathobench,macro-ovr-auc,0.1,29,29,29,1.0
pathobench.threads2025.cptac_gbm.egfr-mutation,pathobench,macro-ovr-auc,0.1,28,28,23,0.8214285714285714
pathobench.threads2025.cptac_gbm.tp53-mutation,pathobench,macro-ovr-auc,0.1,29,29,14,0.4827586206896552
pathobench.threads2025.cptac_hnsc.casp8-mutation,pathobench,macro-ovr-auc,0.1,30,30,26,0.8666666666666667
pathobench.threads2025.cptac_hnsc.os,pathobench,cindex,0.1,29,29,29,1.0
pathobench.threads2025.cptac_lscc.arid1a-mutation,pathobench,macro-ovr-auc,0.1,30,30,21,0.7
pathobench.threads2025.cptac_lscc.keap1-mutation,pathobench,macro-ovr-auc,0.1,29,29,25,0.8620689655172413
pathobench.threads2025.cptac_luad.egfr-mutation,pathobench,macro-ovr-auc,0.1,30,30,30,1.0
pathobench.threads2025.cptac_luad.os,pathobench,cindex,0.1,30,30,17,0.5666666666666667
pathobench.threads2025.cptac_luad.stk11-mutation,pathobench,macro-ovr-auc,0.1,27,27,26,0.9629629629629629
pathobench.threads2025.cptac_luad.tp53-mutation,pathobench,macro-ovr-auc,0.1,30,30,17,0.5666666666666667
