informativeness_rank,evaluation_id,suite_id,metric,models_with_score,model_coverage,parity_medae,hidden_only_medae,model_average_mae,improvement_over_column_median,column_baseline_medae,skill_in_sample_matrixwide_numerator_DEPRECATED,column_loo_baseline_medae,column_robust_dispersion,matched_cell_n,matched_cell_k0_medae,matched_cell_greedy_medae,matched_cell_greedy_beats_k0,skill_numerator_medae,skill_numerator_scope,medae_ratio_to_loo_baseline,skill_score,skill_score_raw,skill_excluded_below_noise_floor,skill_exclusion_reason,parity_medae_normalized,parity_medae_normalized_sd_legacy
45,pathobench.exaone2025.cptac_ucec.ctnnb1-mutation,pathobench,macro-ovr-auc,7,0.11864406779661017,2.1795908399525388,2.1821745800051673,4.442418974374255,-0.2795908399525473,1.9000000000000057,-0.14715307365922747,3.0,2.816940000000008,7,2.331277505739081,2.2461769105944285,True,2.2461769105944285,lofo_matched_cells_greedy_k4_per_column,0.7487256368648095,0.25127436313519047,0.25127436313519047,False,,0.7737441478883229,1.0589617175853574
46,pathobench.exaone2025.cptac_coad.tp53-mutation,pathobench,macro-ovr-auc,7,0.11864406779661017,2.180086394589587,2.1883254741568265,4.4597363648236055,-0.2800863945895955,3.9000000000000057,0.4410034885667734,4.099999999999994,5.782140000000008,7,3.670701877363811,2.2743492902904023,True,2.2743492902904023,lofo_matched_cells_greedy_k4_per_column,0.5547193390952209,0.44528066090477914,0.44528066090477914,False,,0.37703798154136425,0.5359714520770117
47,pathobench.exaone2025.sr386_.died-within-5-years,pathobench,macro-ovr-auc,7,0.11864406779661017,2.180086394589587,2.1851298501409815,4.426466124676617,-0.2800863945895955,2.4000000000000057,0.09163066892100757,3.200000000000003,3.558240000000008,7,4.883757337036556,2.371456119650091,True,2.371456119650091,lofo_matched_cells_greedy_k4_per_column,0.7410800373906528,0.25891996260934724,0.25891996260934724,False,,0.6126867200047164,0.6112756792798932
48,hest.hoptimus1report2025.lung.gene_expression,hest,pearson_r,5,0.0847457627118644,2.180160156864428,2.1830939593793275,4.365367077738484,-0.2801601568644365,0.25,-7.720640627457712,0.2750000000000057,0.37065,3,0.3113811473717476,0.703094727349864,False,0.703094727349864,lofo_matched_cells_greedy_k4_per_column,,,,True,noise_floor,5.881991519936404,4.095325971336099
49,hest.hoptimus1report2025.paad.gene_expression,hest,pearson_r,5,0.0847457627118644,2.180160156864428,2.1830939593793275,4.39623729004654,-0.2801601568644365,0.45000000000000284,-3.8448003485875875,0.625,0.6671700000000041,5,0.7120426222320475,0.38416216822152194,True,0.38416216822152194,lofo_matched_cells_greedy_k4_per_column,0.6146594691544351,0.38534053084556485,0.38534053084556485,False,,3.267773066631315,4.267447086303786
50,hoptimus1report2025.meta_bc.camelyon16_test.abmil_auc,hoptimus1_report,auroc,5,0.0847457627118644,2.180469954457571,2.1830939593793275,4.374435698314073,-0.2804699544575797,0.20000000000000284,-9.902349772287701,0.9500000000000028,0.2965200000000042,3,0.9130187181270344,1.024095874604626,False,1.024095874604626,lofo_matched_cells_greedy_k4_per_column,,,,True,noise_floor,7.353534177989816,2.404410168144831
51,pathobench.exaone2025.cptac_gbm.immune-class,pathobench,macro-ovr-auc,7,0.11864406779661017,2.1815794537189674,2.1925520887328105,4.432698738754057,-0.28157945371897597,1.2999999999999972,-0.6781380413222864,1.7999999999999972,1.9273799999999957,5,1.3627440034954006,0.3682611219702423,True,0.3682611219702423,lofo_matched_cells_greedy_k4_per_column,0.2045895122056905,0.7954104877943096,0.7954104877943096,False,,1.1318886019980348,0.756716487002881
52,hoptimus1report2025.mhist.linear_probe_top1,hoptimus1_report,top1_accuracy,5,0.0847457627118644,2.1849939018278697,2.1942743549873995,4.366714830074918,-0.2849939018278782,0.7999999999999972,-1.7312423772848469,1.0499999999999972,1.1860799999999958,5,1.3178058546345852,1.026858921764429,True,1.026858921764429,lofo_matched_cells_greedy_k4_per_column,0.9779608778708875,0.02203912212911252,0.02203912212911252,False,,1.8421977453695175,2.4247792929437706
53,hest.hoptimus1report2025.skcm.gene_expression,hest,pearson_r,5,0.0847457627118644,2.1867663763584453,2.1942743549873995,4.395071266323318,-0.2867663763584538,0.7000000000000028,-2.1239519662263375,0.9500000000000028,1.0378200000000042,5,1.243184767036766,0.7761238126736032,True,0.7761238126736032,lofo_matched_cells_greedy_k4_per_column,0.8169724343932641,0.18302756560673594,0.18302756560673594,False,,2.1070767342684054,2.877324179419006
54,hoptimus1report2025.crc_no_norm.linear_probe_top1,hoptimus1_report,top1_accuracy,5,0.0847457627118644,2.188284673622647,2.1945856672332695,4.413693766529473,-0.2882846736226554,1.2000000000000028,-0.8235705613522015,1.75,1.779120000000004,5,2.128909865572183,2.2874491365810172,False,2.2874491365810172,lofo_matched_cells_greedy_k4_per_column,1.3071137923320097,-0.30711379233200975,-0.30711379233200975,False,,1.2299814928856074,1.0179059228235943
55,pathobench.exaone2025.ebrains.diagnosis-group,pathobench,macro-ovr-auc,7,0.11864406779661017,2.1884299950493755,2.197749806600129,4.440084727879391,-0.28842999504938405,0.20000000000000284,-9.942149975246721,0.20000000000000284,0.2965200000000042,5,0.22222503698880303,0.2135758976718023,True,0.2135758976718023,lofo_matched_cells_greedy_k4_per_column,,,,True,noise_floor,7.380379047110968,6.948844033279122
56,thunder.bach.linear_probing,thunder,f1,32,0.5423728813559322,2.190733844744951,2.248345866842371,3.52563959833933,-0.29073384474495967,6.5,0.6629640238853921,6.550000000000004,9.636899999999999,22,8.621837455827595,4.553411662702665,True,4.553411662702665,lofo_matched_cells_greedy_k4_per_column,0.6951773530843759,0.3048226469156241,0.3048226469156241,False,,0.22732765150047748,0.24087536123039865
57,eva.leaderboard.crc.validation,eva,balanced_accuracy,19,0.3220338983050847,2.1915017397471814,2.2237912040997827,3.8591489589594747,-0.29150173974718996,1.0999999999999943,-0.9922743088610844,1.1500000000000057,1.6308599999999915,11,1.114762352552063,0.4817922467707234,True,0.4817922467707234,lofo_matched_cells_greedy_k4_per_column,0.418949779800627,0.581050220199373,0.581050220199373,False,,1.3437706116694215,0.482149054695361
58,pathobench.exaone2025.cptac_brca.tp53-mutation,pathobench,macro-ovr-auc,7,0.11864406779661017,2.1923565741624813,2.1997674233970343,4.402207499914418,-0.29235657416248984,2.5999999999999943,0.15678593301442845,5.299999999999997,3.8547599999999913,4,7.774947987563479,7.33304749782836,True,7.33304749782836,lofo_matched_cells_greedy_k4_per_column,1.3835938675147856,-0.38359386751478564,-0.38359386751478564,False,,0.5687400964424468,0.5127762995682474
59,pathobench.exaone2025.hancook.lymphovascular-invasion-l,pathobench,macro-ovr-auc,7,0.11864406779661017,2.1923565741624813,2.1997674233970343,4.425488739747671,-0.29235657416248984,1.5,-0.4615710494416543,2.1999999999999886,2.2239,5,3.660545941291673,2.466321239928277,True,2.466321239928277,lofo_matched_cells_greedy_k4_per_column,1.1210551090583136,-0.12105510905831363,-0.12105510905831363,False,,0.9858161671669056,0.7644254824020399
