evaluation_id,suite_id,dataset_id,task_family,target,sample_unit,task_type,sample_count,sample_count_status,metric,n_observed_models,allowlisted_low_friction_proxy,reference_url
pathobench.exaone2025.cptac_luad.kras-mutation,pathobench,cptac_luad,mutation_prediction,KRAS_mutation,case,classification,102,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.cptac_luad.os,pathobench,cptac_luad,survival_prediction,OS,case,survival,105,source_reported,cindex,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.cptac_luad.stk11-mutation,pathobench,cptac_luad,mutation_prediction,STK11_mutation,case,classification,108,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.cptac_luad.tp53-mutation,pathobench,cptac_luad,mutation_prediction,TP53_mutation,case,classification,108,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.cptac_ov.immune-class,pathobench,cptac_ov,tme_characterization,Immune_class,case,classification,51,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.cptac_pda.immune-class,pathobench,cptac_pda,tme_characterization,Immune_class,case,classification,105,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.cptac_pda.os,pathobench,cptac_pda,survival_prediction,OS,case,survival,97,source_reported,cindex,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.cptac_pda.smad4-mutation,pathobench,cptac_pda,mutation_prediction,SMAD4_mutation,case,classification,105,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.cptac_ucec.ctnnb1-mutation,pathobench,cptac_ucec,mutation_prediction,CTNNB1_mutation,case,classification,93,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.cptac_ucec.immune-class,pathobench,cptac_ucec,tme_characterization,Immune_class,case,classification,94,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.cptac_ucec.pten-mutation,pathobench,cptac_ucec,mutation_prediction,PTEN_mutation,case,classification,93,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.ebrains.diagnosis,pathobench,ebrains,morphological_subtyping,diagnosis,slide,classification,2319,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.ebrains.diagnosis-group,pathobench,ebrains,morphological_subtyping,diagnosis_group,slide,classification,2319,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.ebrains.idh-status,pathobench,ebrains,morphological_subtyping,idh_status,slide,classification,848,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.hancook.grading-scc-conventional-keratinizing,pathobench,hancook,tumor_grading,grading_SCC_Conventional_Keratinizing,case,classification,383,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.hancook.grading-scc-conventional-nonkeratinizing,pathobench,hancook,tumor_grading,grading_SCC_Conventional_NonKeratinizing,case,classification,74,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.hancook.lymphovascular-invasion-l,pathobench,hancook,tme_characterization,lymphovascular_invasion_L,case,classification,697,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.hancook.os-treatment-rdc,pathobench,hancook,survival_prediction,OS_treatment_rdc,case,survival,203,source_reported,cindex,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.hancook.perineural-invasion-pn,pathobench,hancook,tme_characterization,perineural_invasion_Pn,case,classification,697,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.hancook.primarily-metastasis,pathobench,hancook,tme_characterization,primarily_metastasis,case,classification,676,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.hancook.primary-tumor-site,pathobench,hancook,morphological_subtyping,primary_tumor_site,case,classification,696,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.hancook.vascular-invasion-v,pathobench,hancook,tme_characterization,vascular_invasion_V,case,classification,697,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.herroi.response,pathobench,herroi,treatment_response,response,slide,classification,85,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.imp.grade,pathobench,imp,tumor_grading,grade,slide,classification,5333,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.mbc_.os,pathobench,mbc_,survival_prediction,OS,case,survival,75,source_reported,cindex,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.mbc_.recist,pathobench,mbc_,treatment_response,Recist,case,classification,76,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.mut-het-rcc.bap1-mutation,pathobench,mut-het-rcc,mutation_prediction,BAP1_mutation,case,classification,1291,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.mut-het-rcc.pbrm1-mutation,pathobench,mut-het-rcc,mutation_prediction,PBRM1_mutation,case,classification,1291,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.mut-het-rcc.setd2-mutation,pathobench,mut-het-rcc,mutation_prediction,SETD2_mutation,case,classification,1291,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.nadt.response,pathobench,nadt,treatment_response,response,case,classification,36,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.natbrca.lymphovascular-invasion,pathobench,natbrca,tme_characterization,lymphovascular_invasion,slide,classification,53,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.ovarian.response,pathobench,ovarian,treatment_response,response,case,classification,36,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.panda.isup-grade,pathobench,panda,tumor_grading,PANDA ISUP grade,slide,classification,9555,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.sr386_.braf-mutant-binary,pathobench,sr386_,mutation_prediction,braf_mutant_binary,case,classification,388,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.sr386_.died-within-5-years,pathobench,sr386_,survival_prediction,died_within_5_years,case,classification,387,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.sr386_.mmr-loss-binary,pathobench,sr386_,molecular_subtyping,mmr_loss_binary,case,classification,389,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.sr386_.os,pathobench,sr386_,survival_prediction,OS,case,survival,144,source_reported,cindex,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.sr386_.ras-mutant-binary,pathobench,sr386_,mutation_prediction,ras_mutant_binary,case,classification,389,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.visiomel.relapse-noprev-melanoma,pathobench,visiomel,survival_prediction,relapse_noprev_melanoma,case,classification,584,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.visiomel.relapse-overall,pathobench,visiomel,survival_prediction,relapse_overall,case,classification,1341,source_reported,macro-ovr-auc,7,false,https://arxiv.org/pdf/2512.14019v1
pathobench.threads2025.bcnb.er,pathobench,bcnb,molecular_subtyping,er,case,classification,1058,source_reported,macro-ovr-auc,8,false,https://arxiv.org/html/2501.16652v1#S0.T11
pathobench.threads2025.bcnb.her2,pathobench,bcnb,molecular_subtyping,her2,case,classification,1058,source_reported,macro-ovr-auc,8,false,https://arxiv.org/html/2501.16652v1#S0.T11
pathobench.threads2025.bcnb.pr,pathobench,bcnb,molecular_subtyping,pr,case,classification,1058,source_reported,macro-ovr-auc,8,false,https://arxiv.org/html/2501.16652v1#S0.T11
pathobench.threads2025.boehmk_.pfs,pathobench,boehmk_,survival_prediction,PFS,case,survival,183,source_reported,cindex,8,false,https://arxiv.org/html/2501.16652v1#S0.T37
pathobench.threads2025.bracs.slidelevel-coarse,pathobench,bracs,morphological_subtyping,slidelevel_coarse,slide,classification,547,source_reported,bacc,8,false,https://arxiv.org/html/2501.16652v1#S0.T23
pathobench.threads2025.bracs.slidelevel-fine,pathobench,bracs,morphological_subtyping,slidelevel_fine,slide,classification,547,source_reported,bacc,8,false,https://arxiv.org/html/2501.16652v1#S0.T23
pathobench.threads2025.cptac_brca.pik3ca-mutation,pathobench,cptac_brca,mutation_prediction,PIK3CA_mutation,case,classification,103,source_reported,macro-ovr-auc,8,false,https://arxiv.org/html/2501.16652v1#S0.T15
pathobench.threads2025.cptac_brca.tp53-mutation,pathobench,cptac_brca,mutation_prediction,TP53_mutation,case,classification,103,source_reported,macro-ovr-auc,8,false,https://arxiv.org/html/2501.16652v1#S0.T15
pathobench.threads2025.cptac_ccrcc.bap1-mutation,pathobench,cptac_ccrcc,mutation_prediction,BAP1_mutation,case,classification,103,source_reported,macro-ovr-auc,8,false,https://arxiv.org/html/2501.16652v1#S0.T16
pathobench.threads2025.cptac_ccrcc.os,pathobench,cptac_ccrcc,survival_prediction,OS,case,survival,94,source_reported,cindex,8,false,https://arxiv.org/html/2501.16652v1#S0.T33
pathobench.threads2025.cptac_ccrcc.pbrm1-mutation,pathobench,cptac_ccrcc,mutation_prediction,PBRM1_mutation,case,classification,103,source_reported,macro-ovr-auc,8,false,https://arxiv.org/html/2501.16652v1#S0.T16
pathobench.threads2025.cptac_coad.kras-mutation,pathobench,cptac_coad,mutation_prediction,KRAS_mutation,case,classification,94,source_reported,macro-ovr-auc,8,false,https://arxiv.org/html/2501.16652v1#S0.T17
pathobench.threads2025.cptac_coad.tp53-mutation,pathobench,cptac_coad,mutation_prediction,TP53_mutation,case,classification,94,source_reported,macro-ovr-auc,8,false,https://arxiv.org/html/2501.16652v1#S0.T17
pathobench.threads2025.cptac_gbm.egfr-mutation,pathobench,cptac_gbm,mutation_prediction,EGFR_mutation,case,classification,99,source_reported,macro-ovr-auc,8,false,https://arxiv.org/html/2501.16652v1#S0.T18
pathobench.threads2025.cptac_gbm.tp53-mutation,pathobench,cptac_gbm,mutation_prediction,TP53_mutation,case,classification,99,source_reported,macro-ovr-auc,8,false,https://arxiv.org/html/2501.16652v1#S0.T18
pathobench.threads2025.cptac_hnsc.casp8-mutation,pathobench,cptac_hnsc,mutation_prediction,CASP8_mutation,case,classification,107,source_reported,macro-ovr-auc,8,false,https://arxiv.org/html/2501.16652v1#S0.T19
pathobench.threads2025.cptac_hnsc.os,pathobench,cptac_hnsc,survival_prediction,OS,case,survival,102,source_reported,cindex,8,false,https://arxiv.org/html/2501.16652v1#S0.T34
pathobench.threads2025.cptac_lscc.arid1a-mutation,pathobench,cptac_lscc,mutation_prediction,ARID1A_mutation,case,classification,108,source_reported,macro-ovr-auc,8,false,https://arxiv.org/html/2501.16652v1#S0.T20
pathobench.threads2025.cptac_lscc.keap1-mutation,pathobench,cptac_lscc,mutation_prediction,KEAP1_mutation,case,classification,108,source_reported,macro-ovr-auc,8,false,https://arxiv.org/html/2501.16652v1#S0.T20
pathobench.threads2025.cptac_luad.egfr-mutation,pathobench,cptac_luad,mutation_prediction,EGFR_mutation,case,classification,108,source_reported,macro-ovr-auc,8,false,https://arxiv.org/html/2501.16652v1#S0.T21
pathobench.threads2025.cptac_luad.os,pathobench,cptac_luad,survival_prediction,OS,case,survival,105,source_reported,cindex,8,false,https://arxiv.org/html/2501.16652v1#S0.T32
pathobench.threads2025.cptac_luad.stk11-mutation,pathobench,cptac_luad,mutation_prediction,STK11_mutation,case,classification,108,source_reported,macro-ovr-auc,8,false,https://arxiv.org/html/2501.16652v1#S0.T21
pathobench.threads2025.cptac_luad.tp53-mutation,pathobench,cptac_luad,mutation_prediction,TP53_mutation,case,classification,108,source_reported,macro-ovr-auc,8,false,https://arxiv.org/html/2501.16652v1#S0.T21
pathobench.threads2025.cptac_pda.os,pathobench,cptac_pda,survival_prediction,OS,case,survival,97,source_reported,cindex,8,false,https://arxiv.org/html/2501.16652v1#S0.T31
pathobench.threads2025.cptac_pda.smad4-mutation,pathobench,cptac_pda,mutation_prediction,SMAD4_mutation,case,classification,105,source_reported,macro-ovr-auc,8,false,https://arxiv.org/html/2501.16652v1#S0.T22
