model_id,evaluation_id,value,normalized_score,suite_id,metric,reference_url,source_locator,extraction_date,review_status,audit_status,lineage
chief-patch-mean,pathobench.threads2025.cptac_luad.stk11-mutation,0.765,76.5,pathobench,macro-ovr-auc,https://arxiv.org/html/2501.16652v1#S0.T21,paper=THREADS|extended_data_table=21|model_row=Chief Mean Pooling|base_task=pathobench.cptac_luad.stk11-mutation,2026-08-05,machine_parsed_single_source,parsed_primary_source,arxiv:2501.16652v1 source@sha256:3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f -> scripts/extract_threads_pathobench.py -> threads_pathobench_2501.16652v1.csv -> build_registry.py -> scores.csv
chief-patch-mean,pathobench.threads2025.cptac_luad.tp53-mutation,0.663,66.3,pathobench,macro-ovr-auc,https://arxiv.org/html/2501.16652v1#S0.T21,paper=THREADS|extended_data_table=21|model_row=Chief Mean Pooling|base_task=pathobench.cptac_luad.tp53-mutation,2026-08-05,machine_parsed_single_source,parsed_primary_source,arxiv:2501.16652v1 source@sha256:3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f -> scripts/extract_threads_pathobench.py -> threads_pathobench_2501.16652v1.csv -> build_registry.py -> scores.csv
chief-patch-mean,pathobench.threads2025.cptac_pda.os,0.508,50.8,pathobench,cindex,https://arxiv.org/html/2501.16652v1#S0.T31,paper=THREADS|extended_data_table=31|model_row=Chief Mean Pooling|base_task=pathobench.cptac_pda.os,2026-08-05,machine_parsed_single_source,parsed_primary_source,arxiv:2501.16652v1 source@sha256:3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f -> scripts/extract_threads_pathobench.py -> threads_pathobench_2501.16652v1.csv -> build_registry.py -> scores.csv
chief-patch-mean,pathobench.threads2025.cptac_pda.smad4-mutation,0.439,43.9,pathobench,macro-ovr-auc,https://arxiv.org/html/2501.16652v1#S0.T22,paper=THREADS|extended_data_table=22|model_row=Chief Mean Pooling|base_task=pathobench.cptac_pda.smad4-mutation,2026-08-05,machine_parsed_single_source,parsed_primary_source,arxiv:2501.16652v1 source@sha256:3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f -> scripts/extract_threads_pathobench.py -> threads_pathobench_2501.16652v1.csv -> build_registry.py -> scores.csv
chief-patch-mean,pathobench.threads2025.ebrains.diagnosis,0.637,63.7,pathobench,bacc,https://arxiv.org/html/2501.16652v1#S0.T24,paper=THREADS|extended_data_table=24|model_row=Chief Mean Pooling|base_task=pathobench.ebrains.diagnosis,2026-08-05,machine_parsed_single_source,parsed_primary_source,arxiv:2501.16652v1 source@sha256:3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f -> scripts/extract_threads_pathobench.py -> threads_pathobench_2501.16652v1.csv -> build_registry.py -> scores.csv
chief-patch-mean,pathobench.threads2025.ebrains.diagnosis-group,0.785,78.5,pathobench,bacc,https://arxiv.org/html/2501.16652v1#S0.T24,paper=THREADS|extended_data_table=24|model_row=Chief Mean Pooling|base_task=pathobench.ebrains.diagnosis-group,2026-08-05,machine_parsed_single_source,parsed_primary_source,arxiv:2501.16652v1 source@sha256:3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f -> scripts/extract_threads_pathobench.py -> threads_pathobench_2501.16652v1.csv -> build_registry.py -> scores.csv
chief-patch-mean,pathobench.threads2025.imp.grade,0.877,93.85,pathobench,weighted_kappa,https://arxiv.org/html/2501.16652v1#S0.T13,paper=THREADS|extended_data_table=13|model_row=Chief Mean Pooling|base_task=pathobench.imp.grade,2026-08-05,machine_parsed_single_source,parsed_primary_source,arxiv:2501.16652v1 source@sha256:3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f -> scripts/extract_threads_pathobench.py -> threads_pathobench_2501.16652v1.csv -> build_registry.py -> scores.csv
chief-patch-mean,pathobench.threads2025.mbc_.os,0.441,44.1,pathobench,cindex,https://arxiv.org/html/2501.16652v1#S0.T36,paper=THREADS|extended_data_table=36|model_row=Chief Mean Pooling|base_task=pathobench.mbc_.os,2026-08-05,machine_parsed_single_source,parsed_primary_source,arxiv:2501.16652v1 source@sha256:3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f -> scripts/extract_threads_pathobench.py -> threads_pathobench_2501.16652v1.csv -> build_registry.py -> scores.csv
chief-patch-mean,pathobench.threads2025.mbc_.recist,0.204,60.2,pathobench,weighted_kappa,https://arxiv.org/html/2501.16652v1#S0.T30,paper=THREADS|extended_data_table=30|model_row=Chief Mean Pooling|base_task=pathobench.mbc_.recist,2026-08-05,machine_parsed_single_source,parsed_primary_source,arxiv:2501.16652v1 source@sha256:3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f -> scripts/extract_threads_pathobench.py -> threads_pathobench_2501.16652v1.csv -> build_registry.py -> scores.csv
chief-patch-mean,pathobench.threads2025.mut-het-rcc.bap1-mutation,0.85,85,pathobench,macro-ovr-auc,https://arxiv.org/html/2501.16652v1#S0.T12,paper=THREADS|extended_data_table=12|model_row=Chief Mean Pooling|base_task=pathobench.mut-het-rcc.bap1-mutation,2026-08-05,machine_parsed_single_source,parsed_primary_source,arxiv:2501.16652v1 source@sha256:3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f -> scripts/extract_threads_pathobench.py -> threads_pathobench_2501.16652v1.csv -> build_registry.py -> scores.csv
chief-patch-mean,pathobench.threads2025.mut-het-rcc.pbrm1-mutation,0.746,74.6,pathobench,macro-ovr-auc,https://arxiv.org/html/2501.16652v1#S0.T12,paper=THREADS|extended_data_table=12|model_row=Chief Mean Pooling|base_task=pathobench.mut-het-rcc.pbrm1-mutation,2026-08-05,machine_parsed_single_source,parsed_primary_source,arxiv:2501.16652v1 source@sha256:3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f -> scripts/extract_threads_pathobench.py -> threads_pathobench_2501.16652v1.csv -> build_registry.py -> scores.csv
chief-patch-mean,pathobench.threads2025.mut-het-rcc.setd2-mutation,0.722,72.2,pathobench,macro-ovr-auc,https://arxiv.org/html/2501.16652v1#S0.T12,paper=THREADS|extended_data_table=12|model_row=Chief Mean Pooling|base_task=pathobench.mut-het-rcc.setd2-mutation,2026-08-05,machine_parsed_single_source,parsed_primary_source,arxiv:2501.16652v1 source@sha256:3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f -> scripts/extract_threads_pathobench.py -> threads_pathobench_2501.16652v1.csv -> build_registry.py -> scores.csv
chief-patch-mean,pathobench.threads2025.nadt.response,0.643,64.3,pathobench,macro-ovr-auc,https://arxiv.org/html/2501.16652v1#S0.T26,paper=THREADS|extended_data_table=26|model_row=Chief Mean Pooling|base_task=pathobench.nadt.response,2026-08-05,machine_parsed_single_source,parsed_primary_source,arxiv:2501.16652v1 source@sha256:3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f -> scripts/extract_threads_pathobench.py -> threads_pathobench_2501.16652v1.csv -> build_registry.py -> scores.csv
chief-patch-mean,pathobench.threads2025.natbrca.lymphovascular-invasion,0.497,49.7,pathobench,macro-ovr-auc,https://arxiv.org/html/2501.16652v1#S0.T28,paper=THREADS|extended_data_table=28|model_row=Chief Mean Pooling|base_task=pathobench.natbrca.lymphovascular-invasion,2026-08-05,machine_parsed_single_source,parsed_primary_source,arxiv:2501.16652v1 source@sha256:3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f -> scripts/extract_threads_pathobench.py -> threads_pathobench_2501.16652v1.csv -> build_registry.py -> scores.csv
chief-patch-mean,pathobench.threads2025.ovarian.response,0.667,66.7,pathobench,macro-ovr-auc,https://arxiv.org/html/2501.16652v1#S0.T25,paper=THREADS|extended_data_table=25|model_row=Chief Mean Pooling|base_task=pathobench.ovarian.response,2026-08-05,machine_parsed_single_source,parsed_primary_source,arxiv:2501.16652v1 source@sha256:3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f -> scripts/extract_threads_pathobench.py -> threads_pathobench_2501.16652v1.csv -> build_registry.py -> scores.csv
chief-patch-mean,pathobench.threads2025.panda.isup-grade,0.799,89.95,pathobench,weighted_kappa,https://arxiv.org/html/2501.16652v1#S0.T14,paper=THREADS|extended_data_table=14|model_row=Chief Mean Pooling|base_task=pathobench.panda.isup-grade,2026-08-05,machine_parsed_single_source,parsed_primary_source,arxiv:2501.16652v1 source@sha256:3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f -> scripts/extract_threads_pathobench.py -> threads_pathobench_2501.16652v1.csv -> build_registry.py -> scores.csv
chief-patch-mean,pathobench.threads2025.sr386_.braf-mutant-binary,0.67,67,pathobench,macro-ovr-auc,https://arxiv.org/html/2501.16652v1#S0.T29,paper=THREADS|extended_data_table=29|model_row=Chief Mean Pooling|base_task=pathobench.sr386_.braf-mutant-binary,2026-08-05,machine_parsed_single_source,parsed_primary_source,arxiv:2501.16652v1 source@sha256:3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f -> scripts/extract_threads_pathobench.py -> threads_pathobench_2501.16652v1.csv -> build_registry.py -> scores.csv
chief-patch-mean,pathobench.threads2025.sr386_.died-within-5-years,0.671,67.1,pathobench,macro-ovr-auc,https://arxiv.org/html/2501.16652v1#S0.T29,paper=THREADS|extended_data_table=29|model_row=Chief Mean Pooling|base_task=pathobench.sr386_.died-within-5-years,2026-08-05,machine_parsed_single_source,parsed_primary_source,arxiv:2501.16652v1 source@sha256:3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f -> scripts/extract_threads_pathobench.py -> threads_pathobench_2501.16652v1.csv -> build_registry.py -> scores.csv
chief-patch-mean,pathobench.threads2025.sr386_.mmr-loss-binary,0.84,84,pathobench,macro-ovr-auc,https://arxiv.org/html/2501.16652v1#S0.T29,paper=THREADS|extended_data_table=29|model_row=Chief Mean Pooling|base_task=pathobench.sr386_.mmr-loss-binary,2026-08-05,machine_parsed_single_source,parsed_primary_source,arxiv:2501.16652v1 source@sha256:3d8b3f6779b9b0eae21be12e8917bd6f0bab26e3c7943470e378383d20a1de4f -> scripts/extract_threads_pathobench.py -> threads_pathobench_2501.16652v1.csv -> build_registry.py -> scores.csv
